local_filename,true_cat,CLASS-2_1,CLASS-2_2
R0001308_00004.jpg,TEXT_HW,LINE_HW,TEXT
R0001308_00006.jpg,TEXT_HW,LINE_HW,TEXT
R0000568_00289.jpg,TEXT_HW,LINE_HW,TEXT
A0038889_00074.jpg,TEXT_HW,LINE_HW,TEXT
R0002397_00005.jpg,TEXT_HW,LINE_HW,TEXT
A0039065_00345.jpg,TEXT_HW,LINE_HW,TEXT
A0039067_00974.jpg,TEXT_HW,LINE_HW,TEXT
A0039067_00975.jpg,TEXT_HW,LINE_HW,TEXT
A0039067_00976.jpg,TEXT_HW,LINE_HW,TEXT
A0039067_00978.jpg,TEXT_HW,LINE_HW,TEXT
C0113233_00351.jpg,TEXT_HW,LINE_HW,TEXT
A0017151_00004.jpg,TEXT_HW,TEXT,LINE_HW
A0017151_00008.jpg,TEXT_HW,LINE_HW,TEXT
A0017151_00010.jpg,TEXT_HW,TEXT,LINE_HW
A0017151_00012.jpg,TEXT_HW,TEXT,LINE_HW
H0000374_00047.jpg,TEXT_HW,TEXT,LINE_HW
H0000374_00048.jpg,TEXT_HW,LINE_HW,TEXT
C0112394_00111.jpg,LINE_HW,TEXT_HW,DRAW
A0068551_00232.jpg,TEXT_HW,LINE_HW,TEXT
R0002231_00006.jpg,TEXT_HW,LINE_HW,TEXT
R0002231_00007.jpg,TEXT_HW,LINE_HW,TEXT
H0000743_00330.jpg,TEXT_HW,LINE_HW,TEXT
H0000743_00331.jpg,TEXT_HW,TEXT,LINE_HW
A0033942_00078.jpg,TEXT_HW,LINE_HW,TEXT
A0002409_00069.jpg,TEXT_HW,TEXT,LINE_HW
A0002409_00070.jpg,TEXT_HW,LINE_HW,TEXT
A0002409_00075.jpg,TEXT_HW,LINE_HW,TEXT
