FILE,PAGE,CLASS-1,CLASS-2,SCORE-1,SCORE-2
R0000816,2,PHOTO,MISC,0.181,0.114
R0000816,4,TEXT_HW,MISC,0.189,0.11
R0000816,10,TEXT_HW,LINE_HW,0.16,0.131
R0000816,12,TEXT_HW,TEXT,0.212,0.102
R0000816,17,TEXT_HW,LINE_HW,0.213,0.102
R0001209,2,TEXT_HW,LINE_HW,0.123,0.122
R0001209,5,TEXT_HW,MISC,0.19,0.111
R0001209,7,PHOTO,LINE_TP,0.129,0.116
R0001213,14,TEXT_HW,TEXT,0.201,0.105
R0001213,79,TEXT_HW,MISC,0.204,0.105
R0001213,120,TEXT_HW,TEXT,0.208,0.104
R0001213,122,TEXT_HW,MISC,0.172,0.116
R0001234,26,TEXT_HW,TEXT,0.2,0.107
R0001234,59,TEXT_HW,TEXT,0.207,0.105
