FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
A0002409,62,LINE_HW,TEXT_HW,LINE_MIX,0.433,0.337,0.071
A0002409,63,TEXT_HW,LINE_HW,TEXT,0.58,0.194,0.086
A0002409,64,TEXT_HW,LINE_HW,TEXT,0.577,0.165,0.103
A0002409,65,TEXT_HW,LINE_HW,MISC,0.433,0.225,0.141
A0002409,66,TEXT_HW,LINE_HW,TEXT,0.546,0.161,0.114
A0002409,67,TEXT_HW,LINE_HW,MISC,0.351,0.3,0.129
A0002409,68,TEXT_HW,LINE_HW,MISC,0.375,0.331,0.118
A0002409,69,TEXT_HW,TEXT,LINE_HW,0.648,0.116,0.08
A0002409,70,TEXT_HW,LINE_HW,TEXT,0.607,0.135,0.112
A0002409,75,LINE_HW,TEXT_HW,LINE_MIX,0.412,0.321,0.101
A0002409_00062,1,LINE_HW,TEXT_HW,LINE_MIX,0.433,0.337,0.071
A0002409_00063,1,TEXT_HW,LINE_HW,TEXT,0.58,0.194,0.086
A0002409_00064,1,TEXT_HW,LINE_HW,TEXT,0.577,0.165,0.103
A0002409_00065,1,TEXT_HW,LINE_HW,MISC,0.433,0.225,0.141
A0002409_00066,1,TEXT_HW,LINE_HW,TEXT,0.546,0.161,0.114
A0002409_00067,1,TEXT_HW,LINE_HW,MISC,0.351,0.3,0.129
A0002409_00068,1,TEXT_HW,LINE_HW,MISC,0.375,0.331,0.118
A0002409_00069,1,TEXT_HW,TEXT,LINE_HW,0.648,0.116,0.08
A0002409_00070,1,TEXT_HW,LINE_HW,TEXT,0.607,0.135,0.112
A0002409_00075,1,LINE_HW,TEXT_HW,LINE_MIX,0.412,0.321,0.101
A0017151,3,TEXT_HW,LINE_HW,MISC,0.57,0.146,0.129
A0017151,4,TEXT_HW,LINE_HW,TEXT,0.699,0.12,0.077
A0017151,5,TEXT_HW,TEXT,LINE_HW,0.777,0.078,0.053
A0017151,6,TEXT_HW,LINE_HW,TEXT,0.645,0.135,0.091
A0017151,7,TEXT_HW,LINE_HW,TEXT,0.685,0.123,0.077
A0017151,8,TEXT_HW,LINE_HW,TEXT,0.715,0.115,0.071
A0017151,9,TEXT_HW,TEXT,LINE_HW,0.661,0.106,0.103
A0017151,10,TEXT_HW,TEXT,LINE_HW,0.767,0.085,0.059
A0017151,11,TEXT_HW,TEXT,LINE_HW,0.822,0.076,0.033
A0017151,12,TEXT_HW,LINE_HW,TEXT,0.656,0.188,0.062
A0017151_00003,1,TEXT_HW,LINE_HW,MISC,0.57,0.146,0.129
A0017151_00004,1,TEXT_HW,LINE_HW,TEXT,0.699,0.12,0.077
A0017151_00005,1,TEXT_HW,TEXT,LINE_HW,0.777,0.078,0.053
A0017151_00006,1,TEXT_HW,LINE_HW,TEXT,0.645,0.135,0.091
A0017151_00007,1,TEXT_HW,LINE_HW,TEXT,0.685,0.123,0.077
A0017151_00008,1,TEXT_HW,LINE_HW,TEXT,0.715,0.115,0.071
A0017151_00009,1,TEXT_HW,TEXT,LINE_HW,0.661,0.106,0.103
A0017151_00010,1,TEXT_HW,TEXT,LINE_HW,0.767,0.085,0.059
A0017151_00011,1,TEXT_HW,TEXT,LINE_HW,0.822,0.076,0.033
A0017151_00012,1,TEXT_HW,LINE_HW,TEXT,0.656,0.188,0.062
