FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
30002031,37,TEXT_HW,TEXT,LINE_HW,0.707,0.203,0.04
30002031,58,TEXT_HW,TEXT,LINE_HW,0.831,0.112,0.032
30002031,164,TEXT_HW,TEXT,LINE_HW,0.716,0.176,0.055
30002032,212,LINE_P,LINE_T,PHOTO_L,0.355,0.272,0.103
30002040,354,TEXT_HW,TEXT,LINE_HW,0.496,0.21,0.177
30002040,360,LINE_P,LINE_T,PHOTO_L,0.355,0.272,0.103
30002042,123,TEXT_HW,TEXT,TEXT_T,0.766,0.158,0.034
30002045,57,TEXT_HW,TEXT,LINE_HW,0.548,0.259,0.119
30002045,143,TEXT_HW,TEXT,LINE_HW,0.631,0.172,0.134
30002045,169,TEXT_HW,TEXT,LINE_HW,0.775,0.162,0.028
30002045,219,TEXT_HW,TEXT,LINE_HW,0.711,0.207,0.035
30002048,8,TEXT_HW,TEXT,LINE_HW,0.466,0.335,0.116
30002048,44,TEXT_HW,TEXT,LINE_HW,0.619,0.239,0.096
30002048,79,TEXT_HW,TEXT,LINE_HW,0.6,0.231,0.082
30002050,196,TEXT_HW,TEXT,LINE_HW,0.642,0.205,0.075
30002051,121,TEXT_HW,LINE_HW,TEXT,0.383,0.307,0.218
30002051,152,TEXT_HW,TEXT,LINE_HW,0.644,0.222,0.061
30002056,101,TEXT_HW,TEXT,LINE_HW,0.781,0.149,0.031
30002056,114,TEXT_HW,TEXT,LINE_HW,0.738,0.157,0.067
30002056,172,LINE_HW,TEXT_HW,TEXT,0.538,0.175,0.116
30002056,268,TEXT_HW,TEXT,LINE_HW,0.748,0.154,0.061
30002056,530,TEXT_HW,TEXT,LINE_HW,0.755,0.163,0.039
30002057,11,LINE_HW,TEXT_HW,TEXT,0.606,0.185,0.089
30002057,43,LINE_HW,TEXT_HW,TEXT,0.614,0.133,0.079
30002057,67,LINE_HW,TEXT_HW,TEXT,0.604,0.165,0.087
30002057,77,LINE_HW,TEXT_HW,TEXT,0.548,0.199,0.11
30002057,128,LINE_HW,TEXT_HW,TEXT,0.638,0.111,0.08
30002057,142,LINE_HW,TEXT_HW,TEXT,0.565,0.172,0.095
30002057,143,LINE_HW,TEXT_HW,TEXT,0.517,0.196,0.117
30002057,175,LINE_HW,TEXT_HW,TEXT,0.62,0.157,0.08
30003046,17,TEXT_HW,TEXT,LINE_HW,0.557,0.199,0.16
30003046,23,TEXT_HW,TEXT,LINE_HW,0.456,0.233,0.202
30003046,24,TEXT_HW,TEXT,LINE_HW,0.446,0.201,0.198
30003046,27,TEXT_HW,TEXT,LINE_HW,0.404,0.253,0.227
30003046,42,TEXT_HW,TEXT,LINE_HW,0.581,0.198,0.138
30003046,66,TEXT_HW,TEXT,LINE_HW,0.463,0.304,0.148
30003046,72,TEXT_HW,TEXT,LINE_HW,0.63,0.169,0.15
30003050,1,LINE_P,LINE_HW,TEXT_P,0.317,0.186,0.181
30003050,28,TEXT_HW,TEXT,LINE_HW,0.538,0.221,0.134
30003050,38,TEXT_HW,TEXT,LINE_HW,0.366,0.264,0.24
30003050,67,TEXT_HW,LINE_HW,TEXT,0.524,0.205,0.205
30003050,94,TEXT_HW,LINE_HW,TEXT,0.542,0.215,0.163
30003050,101,LINE_T,LINE_P,TEXT_T,0.406,0.275,0.103
30003051,41,LINE_HW,TEXT,TEXT_HW,0.521,0.152,0.111
30003051,80,LINE_HW,TEXT_HW,TEXT,0.397,0.26,0.153
30003051,111,LINE_HW,TEXT_HW,TEXT,0.417,0.237,0.174
30003051,120,LINE_HW,TEXT_HW,TEXT,0.593,0.122,0.091
30003051,128,LINE_HW,TEXT_HW,TEXT,0.564,0.134,0.113
30003051,155,LINE_HW,TEXT,TEXT_HW,0.51,0.188,0.185
30003051,292,LINE_HW,TEXT_HW,TEXT,0.493,0.165,0.158
30003051,306,LINE_HW,TEXT,TEXT_HW,0.468,0.186,0.18
30003052,10,TEXT_HW,LINE_HW,TEXT,0.375,0.198,0.18
30003052,61,TEXT_HW,LINE_HW,TEXT,0.313,0.308,0.181
30003052,67,LINE_HW,TEXT_HW,TEXT,0.381,0.246,0.169
30003052,70,LINE_HW,TEXT_HW,TEXT,0.395,0.263,0.175
30003052,129,LINE_HW,TEXT,TEXT_HW,0.514,0.164,0.157
30003052,137,LINE_HW,TEXT,TEXT_HW,0.496,0.156,0.144
30003052,197,LINE_HW,TEXT_HW,TEXT,0.436,0.196,0.144
30003052,247,LINE_HW,TEXT_HW,TEXT,0.602,0.155,0.105
30003053,23,TEXT_HW,LINE_HW,TEXT_T,0.37,0.143,0.134
30003053,27,LINE_HW,TEXT_HW,TEXT,0.576,0.139,0.112
30003053,37,LINE_HW,TEXT_HW,TEXT,0.501,0.135,0.133
30003053,117,LINE_HW,TEXT,TEXT_HW,0.409,0.229,0.215
30003053,118,LINE_HW,TEXT_HW,TEXT,0.433,0.214,0.192
30003053,137,LINE_HW,TEXT,TEXT_HW,0.506,0.113,0.108
30003053,207,LINE_HW,TEXT_HW,TEXT,0.49,0.175,0.145
30003053,218,LINE_HW,TEXT_HW,TEXT,0.565,0.108,0.106
30003054,36,LINE_HW,TEXT,TEXT_HW,0.528,0.144,0.12
30003054,68,LINE_HW,TEXT_HW,TEXT,0.517,0.141,0.121
30003054,93,LINE_HW,TEXT,LINE_T,0.558,0.1,0.097
30003054,101,LINE_HW,TEXT,TEXT_HW,0.528,0.118,0.109
30003054,124,LINE_HW,TEXT_HW,TEXT,0.608,0.116,0.114
30003054,131,LINE_HW,TEXT_HW,TEXT,0.526,0.129,0.11
30003054,135,LINE_HW,TEXT,TEXT_HW,0.586,0.115,0.091
30003054,205,LINE_HW,TEXT_HW,TEXT,0.565,0.143,0.13
30003055,28,LINE_HW,TEXT_HW,TEXT,0.535,0.151,0.125
30003055,52,LINE_HW,TEXT_HW,TEXT,0.366,0.256,0.24
30003055,79,LINE_HW,TEXT_HW,TEXT,0.635,0.104,0.097
30003055,85,LINE_HW,TEXT_HW,TEXT,0.624,0.119,0.108
30003055,116,LINE_HW,TEXT_HW,TEXT,0.562,0.14,0.109
30003055,167,LINE_HW,TEXT_HW,TEXT,0.515,0.208,0.119
30003055,191,LINE_HW,TEXT_HW,TEXT,0.569,0.168,0.125
30003055,196,LINE_HW,TEXT,TEXT_HW,0.518,0.168,0.166
30003056,84,LINE_HW,TEXT_HW,TEXT,0.548,0.098,0.097
30003056,106,LINE_HW,TEXT_HW,TEXT,0.384,0.237,0.199
30003056,113,LINE_HW,TEXT_HW,TEXT,0.441,0.184,0.152
30003056,149,LINE_HW,TEXT_HW,TEXT,0.473,0.166,0.14
30003056,156,LINE_HW,TEXT_HW,TEXT,0.577,0.11,0.105
30003056,198,LINE_HW,TEXT_HW,TEXT,0.513,0.164,0.152
30003056,203,LINE_HW,TEXT_HW,TEXT,0.558,0.17,0.129
30003056,297,LINE_HW,LINE_T,TEXT_HW,0.567,0.102,0.098
30003068,38,LINE_HW,TEXT_HW,TEXT,0.418,0.194,0.154
30003068,149,LINE_HW,LINE_T,TEXT_HW,0.578,0.097,0.078
30003068,154,LINE_HW,TEXT_HW,TEXT,0.38,0.227,0.153
30003068,162,LINE_HW,TEXT_HW,TEXT,0.422,0.163,0.129
30003068,220,LINE_HW,TEXT,TEXT_HW,0.438,0.161,0.142
30003068,227,LINE_HW,TEXT_HW,TEXT,0.435,0.17,0.155
30003068,238,LINE_HW,TEXT,TEXT_HW,0.473,0.151,0.14
30003068,309,LINE_HW,TEXT_HW,TEXT,0.453,0.177,0.124
30003116,32,TEXT_HW,TEXT,TEXT_T,0.71,0.2,0.038
30003116,99,TEXT_HW,TEXT,LINE_HW,0.646,0.179,0.12
30003116,175,TEXT_HW,TEXT,TEXT_T,0.672,0.236,0.053
30003116,474,TEXT_HW,TEXT,TEXT_T,0.737,0.195,0.029
30003116,498,TEXT_HW,TEXT,LINE_HW,0.71,0.2,0.055
30003116,523,TEXT_HW,TEXT,LINE_HW,0.751,0.176,0.034
40004026,495,TEXT_HW,LINE_HW,TEXT,0.41,0.351,0.144
40004033,4,PHOTO_L,TEXT_P,TEXT,0.172,0.152,0.136
40004033,167,TEXT_HW,LINE_HW,TEXT,0.39,0.384,0.153
40004033,336,TEXT_HW,LINE_HW,TEXT,0.576,0.19,0.179
40004033,399,TEXT_HW,TEXT,LINE_HW,0.703,0.175,0.095
