FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
A0002409,62,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0002409,63,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,64,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,65,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0002409,66,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,67,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,68,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,69,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,70,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409,75,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00062,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0002409_00063,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00064,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00065,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0002409_00066,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00067,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00068,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00069,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00070,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0002409_00075,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0017151,3,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0017151,4,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,5,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,6,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,7,TEXT_HW,LINE_HW,TEXT,0.999,0.001,0.0
A0017151,8,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,9,TEXT_HW,LINE_HW,TEXT,0.999,0.001,0.0
A0017151,10,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,11,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151,12,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00003,1,TEXT_HW,TEXT,LINE_HW,1.0,0.0,0.0
A0017151_00004,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00005,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00006,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00007,1,TEXT_HW,LINE_HW,TEXT,0.999,0.001,0.0
A0017151_00008,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00009,1,TEXT_HW,LINE_HW,TEXT,0.999,0.001,0.0
A0017151_00010,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00011,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0017151_00012,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0033942,78,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0033942_00078,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
A0038889,74,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889,75,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889,76,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889,77,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889_00074,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889_00075,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889_00076,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0038889_00077,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,345,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,404,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,792,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,793,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,794,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065,804,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00345,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00404,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00792,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00793,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00794,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039065_00804,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,974,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,975,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,976,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,977,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,978,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067,979,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067_00974,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067_00975,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
A0039067_00976,1,TEXT_HW,TEXT,TEXT_TP,1.0,0.0,0.0
