filename,cluster,category,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50
C:\RA-CLIP\Dataset_03_24\DRAW\90003029_00077.jpg,8,DRAW,-0.11759277021723344,-0.019200152090438925,0.17455275200808926,0.06103479759388172,-0.020086616392702046,-0.3279679196707943,-0.010918500508061191,-0.2136658189976578,0.004860449998541076,0.04538093684715529,-0.2110245216444885,0.00722733140721115,-0.030293133212413014,0.09864338995325815,0.007025067951280867,0.06573156325556025,0.012934846437944611,0.13360816912035564,-0.13115814787897276,-0.06101533720827952,-0.004276144978303421,0.08177296287273847,-0.009704093927238403,-0.0084934442237003,-0.02328791982856414,-0.04734379600922095,-0.10185344944499516,0.02547489030699473,0.015076466080666403,-0.07366021700963489,-0.013520602897248752,-0.007232848404208731,-0.01996745497003709,-0.06861447678932218,0.0015097192321870054,0.05916085692113141,0.08488428943017252,-0.11059769145954816,-0.06447494345242688,0.03275548852541259,0.02408302938729201,0.032403488443741094,0.05600524450234549,0.08558917700958081,0.024893400964786302,-0.047921888801842845,-0.07469059612438338,-0.042843915948489,-0.03230573860212519,0.039215137778321876
C:\RA-CLIP\Dataset_03_24\DRAW\90003029_00079.jpg,19,MISC,-0.14282612758346097,0.22401862535867367,0.21503369516896495,-0.0007262047488697343,-0.10435607322381853,0.07878609164248451,-0.003769666555894873,0.0292035684190513,0.03630202085015558,0.020978875044876243,-0.00019610021635567827,-0.056285844613464704,-0.033626453007277214,-0.10818400107907986,0.09208840384398405,-0.031013375262277827,0.029201856893451738,-0.00377943690581829,0.012336713853395279,-0.025138996926779827,-0.12876714052687072,0.02618899543982327,0.023830581186299774,0.027282381158250664,-0.047441999247943574,0.016749086987435935,0.024457710069115436,-0.010028746810236395,-0.009519454693639583,0.009938216405352234,-0.06321156804497935,-0.029105051739130194,0.000405129228923717,0.024683538554134476,-0.005797963041313045,0.020291952785545672,0.040353868181704985,0.0359168578179367,-0.016304521791007106,0.0017262831529881184,-0.0387393906905242,-0.0017944536052629295,-0.016249101041186993,0.009731586566674043,0.01913674523534553,-0.02098100320173971,-0.03676889152661943,-0.011220853624833067,-0.029066899816432793,-0.02377449514159987
C:\RA-CLIP\Dataset_03_24\DRAW\90003029_00114.jpg,18,TEXT_HW,0.2192558288436816,-0.07039787037133736,0.1116732273756796,0.09579658318346534,0.10257818740567425,-0.07641041564862433,-0.05072433076232316,0.05326633171124327,-0.0026776108528457627,-0.0740849182700611,-0.0388635062364262,0.013502107609761026,0.015089391978141162,-0.09981231057201313,-0.018148239408656355,-0.0813379391514557,-0.01718044832610793,0.029409080538274752,-0.03068174725977552,0.010311411956390784,0.024234598198713875,0.03844096068551739,0.012917434691594561,0.03955150854934078,0.02856058947452997,0.011131920643010775,-0.013278347601314593,0.04610439491230754,0.03257299994154771,-0.005366375702597388,-0.03805217333698848,0.005898169531583178,0.015526599713597024,-0.006556222595375585,-0.012477931008251225,-0.02169979110123301,0.0031724885232726303,-0.012214276139635863,-0.015004391176470299,-0.017500507218586717,-0.01397430434164778,0.00878746860286498,0.003402028148274406,0.0048867259599245216,-0.008776866259690319,-0.024615929292102476,-0.0053269815939543325,-0.007171825470812439,-0.03174838987914582,0.015766542531284403
C:\RA-CLIP\Dataset_03_24\DRAW\ES003017_00001.jpg,9,PHOTO,-0.28095287577255673,-0.21582314217701,-0.03033261278271681,0.022707118147887787,0.002433082049312657,0.05920226354401179,0.029942737328920024,-0.046441160894890476,-0.04461430603703686,0.06073027691693469,0.01824622481582136,-0.06544259582620676,0.03619574681382659,0.008825912611595722,-0.03473855555645174,0.04415133773986819,0.021215680814872077,0.08808351839074499,0.04929471019416668,0.009974883108804226,-0.00136239256616906,0.014036358959297494,-0.04990370403535188,0.011829993560718292,0.018347621770865075,-0.07056621647952538,-0.05840979790870815,0.05073444443360072,-0.10712022900790172,-0.038552970302162294,0.019169685558600675,0.02140317549033433,-0.009409644598280541,0.10883522600122923,0.0009739951468554469,0.11852393571598979,0.016206454748155973,-0.04202817577324232,0.017738236356907373,-0.02719936578976382,0.01982409874901648,0.023944910249758696,0.04669923150918683,-0.0283281283173908,0.05453772733543441,0.07163358956217157,-0.005335521923610863,-0.02484322402970995,-0.06679050869833929,-0.003368508527104737
C:\RA-CLIP\Dataset_03_24\DRAW\R0001533_00001.jpg,7,TEXT,0.15786776305368827,0.009909511252488276,-0.0546078580668552,0.11228692244791216,0.06713822623743307,-0.015594860897868146,0.04019532060411997,0.16746355101326774,-0.048855942837134854,0.1053122298624851,-0.03021326946549962,0.06061391356322249,-0.04624619547216062,0.03100125371974469,0.03253656529873891,-0.03071023086395488,0.017550269333355968,-0.02577811380351389,0.06537905272903828,0.024886941277291588,0.006332103206453876,-0.06122776517870614,-0.011708513805076568,-0.014444746129904268,0.008601520163090974,0.0344252109268315,-0.016960440161979236,-0.02033220631858911,-0.04095438079318976,0.01687504367951556,-0.021675295216837795,0.01766169802110325,0.015941278038151617,0.010965510752020086,0.004258855367508063,-0.016715602620403402,-0.025961895889175864,-0.02339792785102862,0.00436129571753791,0.004458559590796036,0.016577143374350366,-0.01250706629497479,0.025864563878829815,-0.0005614058371136379,-0.0006272995767815312,-0.03030468774317345,-0.020693261799087887,0.008795665116990299,-0.006234423166263308,-0.004736056758370981
C:\RA-CLIP\Dataset_03_24\DRAW\R0001856_00001.jpg,11,LINE_TP,0.1918597301022711,0.09088282195310862,0.010032211793438611,0.10557767181488449,-0.013477529114860906,0.22895366923102808,0.031865086121525915,-0.08471583590850026,-0.0790675249638879,0.05572848307891199,0.03816625295678428,0.1255881406604254,0.028130363838432492,0.10332855908143813,-0.005724866811361819,-0.03967784093237998,-0.05929568005127785,-0.02546771343087186,-0.01658491696744839,-0.011735377901258745,0.03835626592706701,0.08153101281126399,0.010170187060152863,-0.031047977753570297,0.02708088579029587,-0.016011702390783943,0.004065268623928072,-0.02870150152427835,0.040672894640672384,0.011560597935829076,0.002907124290114542,-8.660595975567312e-05,0.015763194757247932,0.014576417070961606,0.003781357120722328,0.005060790720118717,-0.002033797086906043,0.002935311994323978,-0.020846825603794163,-0.011647520503565751,-0.016169894901153316,-0.021217745985265327,0.020298437803548147,-0.014845736683605096,-0.01242075210556272,-0.0024883217473669022,-0.030848188518356037,-0.005786441511238501,0.008833066387476574,-0.0014264164087397545
C:\RA-CLIP\Dataset_03_24\DRAW\R0001858_00001.jpg,10,LINE_HW,0.2666692404614988,-0.08482392174191496,0.01782071068326871,-0.05384061675360197,0.02585645419462717,0.007359979442602772,0.009422894290681248,-0.054846515412141625,0.01911823247827559,-0.05917561350018779,0.054459062178999755,0.0003049360291930656,0.052151930735639285,0.022986928460052937,-0.035272861610361646,-0.04049073564976627,0.031588548746092786,0.07615923404667595,0.09116808118917019,-0.027871291798657553,0.04326179824776826,0.03308254685710008,0.027113835242832975,-0.03860728407329393,0.0014857466074619239,0.002204004652370897,-0.004021862194452407,-0.0162411485722557,0.029603756494475008,0.032832288568438145,-0.02357493403969196,-0.006273199398661806,0.0001645330044294898,-0.01630321289976507,0.005951257904517001,0.00592228944731423,-0.001530639443844376,-0.025073400660325075,-0.006975305070482454,0.022120913908834132,-0.031074325610717848,0.004000393734875533,0.0028725022485384466,-0.0022119331245683597,-0.007490258281857606,-0.0008783056394311897,0.007589828645547721,-0.0020114086748577262,-0.005002206365612871,0.007623591103291484
C:\RA-CLIP\Dataset_03_24\DRAW\R0001859_00001.jpg,5,TEXT_TP,0.0017101976740322876,0.1046117281746553,0.0884130919217911,0.23312364548305972,-0.23455742216566797,0.026805025858897966,0.15656161495821816,0.029630756989544708,0.02485991611114832,-0.017073347449426717,-0.0196354258227846,0.0476699828714519,0.0761556137569465,-0.060766803340306264,-0.00511590299593229,0.029458722520370937,0.038304273169918454,0.00024738303450899603,-0.0034199048961851973,0.02493988293279849,0.02306975840396317,0.014587316391270398,-0.006404452294091347,0.03739671415257867,-0.01336402598625253,0.0515810639231884,0.01773845257387546,-0.019629910998179435,-0.031361007361324314,0.037250040140644314,0.01025099762489512,0.006774114975601511,-0.0043969000240116456,0.015699411359941334,0.022804710288129495,-0.01675048532547334,-0.0141127476861981,-0.017758017019948915,0.001896542291966374,0.020155938348810246,0.003461601070915695,-0.008345811293333845,0.010082254019580315,0.013985520653623974,-0.01895543990138626,-0.007698035738438973,-0.009600793779506669,0.013038978282213924,0.011086803846393711,-0.02816561958441279
C:\RA-CLIP\Dataset_03_24\DRAW\R0002191_00001.jpg,1,LINE_MIX,0.00965895770128359,-0.0015138472976012236,-0.37895421623319125,-0.2953537948885972,-0.16312338152902253,-0.09139314448483535,0.1534049770768373,0.09392061166107353,0.044812208894453816,0.006947804647213039,-0.029016061215746347,0.035742166333766895,0.042186492406189734,0.012140223459423567,-0.019306680350674198,-0.03719139945829594,-0.001761539781656399,0.04906550643503789,-0.012752346718590048,-0.012381000600743826,-0.03399785308196929,0.07878954812928292,0.012083759220287486,0.018980242653683498,0.027139179835656915,0.046481965738937515,0.028670211033065426,-0.012742746271350986,-0.06390135932179883,0.028157696103013014,0.018883480931801446,0.03259648547318343,-0.016724284874865717,-0.023326804005828376,-0.008737060102942415,0.008239411889474442,0.00931864597574974,-0.01847904431695693,-0.049781350487133155,0.01869532971465612,0.004159509254162468,-0.015877903274036115,0.01900633674868251,-0.006042245074646207,0.01212120267857356,0.0067640666793728306,-0.00556824932472662,0.031269329068591485,0.020834324341378295,0.01354098302017716
C:\RA-CLIP\Dataset_03_24\DRAW\R0002191_00002.jpg,18,TEXT_HW,0.2173906928528368,-0.08007089726529515,0.06895711886149797,0.11643989859791416,0.11405681448543466,-0.09017770441092601,-0.01910072712050006,0.09255730038403831,0.004289225026048169,-0.031763693777609,-0.014264858151103866,0.03393246013236656,0.0637985561395488,-0.023278702996448176,-0.012900754093508892,-0.022537262663218535,-0.02680572984127592,0.0557643685445664,-0.0016956510403472768,-0.02911765990166429,-0.008693975073260002,0.03288110116768919,0.010277447204742806,-0.018093702791358707,0.0070573859780603656,-0.014391452495343864,-0.002711740910320517,0.04075389593553854,-0.012597474663056442,-0.010067921643200087,0.022520403090179112,0.0032484859579871117,-0.040326263678871384,0.026956095671497475,0.02628966250795706,0.0072206175032615925,-0.03394301002350142,-0.01366808354179195,-0.009964469316373608,-0.05915712938186743,0.013777389938139137,-0.0029356651590055605,0.00028775246350786957,0.005572623181826295,0.020454776764012743,0.012778972522572242,0.01723349926907846,-0.023866672450400063,-0.0017001685536509438,-0.01566433493769601
